Tag;Wochentag;Airline Code;Airline Name;Flugnummer;Bewegungsart LSV;Dest 3-Letter;City;ATA_ATD_ltc_Time;STA_STD_ltc_Time;Piste;PAX
17.02.2019;So;2L;Helvetic Airways;2L7182;S;OHD;Ohrid;07:42:35;07:30:00;32;93
17.02.2019;So;2L;Helvetic Airways;2L7183;L;OHD;Ohrid;12:31:36;12:35:00;14;110
17.02.2019;So;2L;Helvetic Airways;2L8463;L;STN;London;11:44:01;11:30:00;14;65
17.02.2019;So;A3;Aegean Airlines S.A.;A3852;L;ATH;Athens;18:12:04;18:15:00;14;186
17.02.2019;So;A3;Aegean Airlines S.A.;A3853;S;ATH;Athens;19:08:22;19:00:00;28;168
17.02.2019;So;AA;American Airlines Inc.;AA092;L;PHL;Philadelphia;08:21:36;08:50:00;34;198
17.02.2019;So;AA;American Airlines Inc.;AA093;S;PHL;Philadelphia;11:52:45;11:45:00;16;98
17.02.2019;So;AC;Air Canada;AC878;L;YYZ;Toronto;06:56:57;06:25:00;34;292
17.02.2019;So;AC;Air Canada;AC879;S;YYZ;Toronto;09:34:15;09:25:00;16;202
17.02.2019;So;AF;Air France;AF1114;L;CDG;Paris;08:39:42;08:45:00;34;117
17.02.2019;So;AF;Air France;AF1115;S;CDG;Paris;09:27:00;09:35:00;28;103
17.02.2019;So;AF;Air France;AF1314;L;CDG;Paris;19:48:45;19:50:00;14;125
17.02.2019;So;AF;Air France;AF1315;S;CDG;Paris;20:37:50;20:35:00;32;119
17.02.2019;So;AF;Air France;AF1414;L;CDG;Paris;22:09:26;22:05:00;28;139
17.02.2019;So;AF;Air France;AF1415;S;CDG;Paris;06:39:00;06:45:00;32;68
17.02.2019;So;AF;Air France;AF1614;L;CDG;Paris;14:16:24;14:15:00;14;135
17.02.2019;So;AF;Air France;AF1615;S;CDG;Paris;15:18:40;15:20:00;28;102
17.02.2019;So;AF;Air France;AF1814;L;CDG;Paris;17:19:16;17:30:00;14;132
17.02.2019;So;AF;Air France;AF1815;S;CDG;Paris;18:23:00;18:30:00;28;128
17.02.2019;So;AP;ALBA STAR SA;AP5024;S;VIE;Vienna;11:00:00;11:00:00;28;109
17.02.2019;So;AT;Royal Air Maroc;AT936;L;CMN;Casablanca;15:55:22;15:55:00;14;103
17.02.2019;So;AT;Royal Air Maroc;AT937;S;CMN;Casablanca;16:58:20;16:55:00;28;67
17.02.2019;So;AY;Finnair Plc;AY1511;L;HEL;Helsinki;09:33:03;09:45:00;14;207
17.02.2019;So;AY;Finnair Plc;AY1512;S;HEL;Helsinki;10:50:00;10:55:00;28;168
17.02.2019;So;AY;Finnair Plc;AY1513;L;HEL;Helsinki;18:32:01;18:20:00;14;203
17.02.2019;So;AY;Finnair Plc;AY1514;S;HEL;Helsinki;19:20:00;19:05:00;28;101
17.02.2019;So;AZ;Alitalia - Società Aerea Italiana S;AZ571;S;FCO;Rome;10:54:00;11:05:00;28;78
17.02.2019;So;AZ;Alitalia - Società Aerea Italiana S;AZ572;L;FCO;Rome;10:00:31;10:15:00;14;69
17.02.2019;So;AZ;Alitalia - Società Aerea Italiana S;AZ573;S;FCO;Rome;19:08:54;19:15:00;28;69
17.02.2019;So;AZ;Alitalia - Società Aerea Italiana S;AZ574;L;FCO;Rome;18:06:01;18:25:00;14;72
17.02.2019;So;BA;British Airways plc;BA707;S;LHR;London;20:53:00;20:55:00;32;57
