Tag;Wochentag;Airline Code;Airline Name;Flugnummer;Bewegungsart LSV;Dest 3-Letter;City;ATA_ATD_ltc_Time;STA_STD_ltc_Time;Piste;PAX
29.07.2018;So;2L;Helvetic Airways AG;2L062;S;CLY;Calvi;07:37:41;07:40:00;32;91
29.07.2018;So;2L;Helvetic Airways AG;2L063;L;CLY;Calvi;14:15:33;14:20:00;14;99
29.07.2018;So;2L;Helvetic Airways AG;2L974;S;RLG;Rostock;15:15:07;15:05:00;28;89
29.07.2018;So;2L;Helvetic Airways AG;2L975;L;RLG;Rostock;18:50:55;18:55:00;14;85
29.07.2018;So;2L;Helvetic Airways AG;2L7010;S;PMI;Mallorca;07:20:21;07:20:00;28;99
29.07.2018;So;2L;Helvetic Airways AG;2L7011;L;PMI;Mallorca;17:06:18;16:55:00;14;99
29.07.2018;So;8Q;ONUR HAVA TASIMACILIK AWMS;8Q841;L;AYT;Antalya;20:12:12;19:35:00;28;214
29.07.2018;So;8Q;ONUR HAVA TASIMACILIK AWMS;8Q842;S;AYT;Antalya;21:32:11;20:35:00;32;212
29.07.2018;So;A3;Aegean Airlines S.A.;A3442;L;HER;Heraklion;17:43:56;17:25:00;14;171
29.07.2018;So;A3;Aegean Airlines S.A.;A3443;S;HER;Heraklion;18:25:15;18:10:00;28;170
29.07.2018;So;A3;Aegean Airlines S.A.;A3852;L;ATH;Athens;15:59:43;15:35:00;14;162
29.07.2018;So;A3;Aegean Airlines S.A.;A3853;S;ATH;Athens;17:11:01;16:25:00;28;167
29.07.2018;So;AA;American Airlines Inc.;AA092;L;PHL;Philadelphia;08:12:39;08:50:00;34;169
29.07.2018;So;AA;American Airlines Inc.;AA093;S;PHL;Philadelphia;11:43:00;11:45:00;16;204
29.07.2018;So;AC;Air Canada;AC802;L;YVR;Vancouver;08:14:58;07:55:00;34;211
29.07.2018;So;AC;Air Canada;AC803;S;YVR;Vancouver;10:12:50;10:05:00;16;249
29.07.2018;So;AC;Air Canada;AC878;L;YYZ;Toronto;08:04:40;07:50:00;34;391
29.07.2018;So;AC;Air Canada;AC879;S;YYZ;Toronto;10:21:35;09:35:00;16;396
29.07.2018;So;AF;Air France;AF1114;L;CDG;Paris;08:55:09;08:50:00;34;100
29.07.2018;So;AF;Air France;AF1115;S;CDG;Paris;09:41:00;09:40:00;28;100
29.07.2018;So;AF;Air France;AF1414;L;CDG;Paris;22:50:32;22:35:00;28;126
29.07.2018;So;AF;Air France;AF1415;S;CDG;Paris;07:45:00;07:45:00;32;107
29.07.2018;So;AF;Air France;AF1614;L;CDG;Paris;14:16:54;14:10:00;14;126
29.07.2018;So;AF;Air France;AF1615;S;CDG;Paris;14:55:43;15:05:00;28;106
29.07.2018;So;AF;Air France;AF1814;L;CDG;Paris;17:57:25;17:45:00;14;123
29.07.2018;So;AF;Air France;AF1815;S;CDG;Paris;18:34:00;18:30:00;28;109
29.07.2018;So;AT;Royal Air Maroc;AT936;L;CMN;Casablanca;17:32:44;17:20:00;14;131
29.07.2018;So;AT;Royal Air Maroc;AT936;S;CMN;Casablanca;18:32:00;18:10:00;28;147
29.07.2018;So;AY;Finnair Plc;AY1511;L;HEL;Helsinki;09:45:13;09:40:00;14;196
29.07.2018;So;AY;Finnair Plc;AY1512;S;HEL;Helsinki;10:52:00;10:55:00;28;207
29.07.2018;So;AY;Finnair Plc;AY1513;L;HEL;Helsinki;18:24:34;18:15:00;14;201
